feature,importance,method,target,target_column,model_name
future_wind_direction_day3_avg,0.03517075834473528,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_lag_1h,0.017685359670624838,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_rolling_mean_6h,0.015840965603445813,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_lag_6h,0.015253162698126299,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_rolling_mean_3h,0.013450714656451711,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_humidity_day1_avg,0.01121930950824238,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm25_rolling_mean_24h,0.010659454074059889,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_rolling_mean_24h,0.008770775964818229,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
surface_pressure,0.006655070940188744,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
wind_speed_rolling_mean_24h,0.003949904343004655,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_pressure_day1_avg,0.003664590169940411,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day1_avg,0.0015425089779902207,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
dayofweek,0.001378495507671743,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
latitude,0.0012975057964000566,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_pressure_day2_avg,0.0011480728177010152,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day3_avg,0.001032747634247981,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_humidity_day3_avg,0.0010318856680019987,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
ozone_rolling_mean_24h,0.0009102107520303138,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_direction_day2_avg,0.0006802044044191059,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day2_avg,0.0006792355518729841,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
day,0.0006504612977789456,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_direction_day1_avg,0.0004849048226208223,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day2_max,0.0003911694054266041,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pressure_rolling_mean_24h,0.00024238667802987458,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day1_max,0.00017136011245704987,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_wind_day3_max,0.00015556186501000646,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_change_rate_24h,0.00015025421382630863,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
ozone,0.00010068389398148526,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm25_lag_24h,4.029596184314666e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
sulphur_dioxide,3.869604583742539e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
temperature_2m,3.0353779548228804e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm2_5,2.4991155272991396e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
relative_humidity_2m,2.366630453900287e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
carbon_monoxide,2.3091619075520698e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
wind_direction_10m,1.8964411381238563e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
nitrogen_dioxide,1.6493286023804277e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm10_lag_24h,1.5934755810250747e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
dust,1.4333948555931132e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_change_rate_1h,1.3841524610819172e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
wind_speed_10m,1.337002543085547e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
hour,1.2880192914651065e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
pm10,1.2511879898551745e-05,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
longitude,4.22881765477026e-06,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
aqi_change_rate_3h,1.4115916308894239e-06,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
month,0.0,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
precipitation,0.0,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_precip_day1_sum,0.0,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_precip_day2_sum,0.0,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
future_precip_day3_sum,0.0,model_feature_importance,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting
