feature,mean_abs_shap,target,target_column,model_name,rows_explained,background_rows
future_wind_direction_day1_avg,0.21973096608808332,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
latitude,0.20525977462652234,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day2_avg,0.17419580211693447,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day3_max,0.16241476144917363,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
nitrogen_dioxide,0.06285131955609718,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day2_avg,0.0437943334771403,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_24h,0.03974616969178331,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day2_max,0.03744089148897956,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
sulphur_dioxide,0.03145907556755869,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
ozone,0.03119102954039342,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
dust,0.028916330452856385,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
ozone_rolling_mean_24h,0.027706463880682142,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
relative_humidity_2m,0.025529084516511938,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_direction_10m,0.0164930183524518,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_speed_10m,0.016069116590347206,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
carbon_monoxide,0.013627511422172755,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm10,0.013501211756248906,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm2_5,0.012999349971081476,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
temperature_2m,0.012058391549741199,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm25_lag_24h,0.010079843938644266,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
longitude,0.010006619888877669,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm10_lag_24h,0.006919593742923376,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_1h,0.005940298612778487,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
hour,0.005521495206132773,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_3h,0.002423761898339623,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
month,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
precipitation,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day1_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day2_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day3_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
